GUID,Visual Name,Latest Version,Is Certified,Popularity,Finding Category,Finding Pattern,Detection Method,ESLint Rule,Code Origin,Library Name,Occurrence Count,Severity,Present in Prior Version
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Informational,Math.random(),Regex,insecure-random,Author,,17,Low,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Informational,Math.random(),Regex,insecure-random,Library,(bundled),1,Low,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Dynamic Code Execution,eval(),Regex,no-banned-terms,Author,,1,High,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,6,High,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Network Access,fetch(),Regex,(certification requirement),Author,,1,High,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,DOM Manipulation,document.write(),Regex,no-document-write,Library,(bundled),1,Medium,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,16,Medium,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),3,Medium,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,3,Medium,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Author,,19,Low,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Informational,Math.random(),Regex,insecure-random,Author,,11,Low,
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,True,0.997,Informational,Math.random(),Regex,insecure-random,Library,(bundled),2,Low,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,1,High,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),3,High,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Network Access,XMLHttpRequest,Regex,(certification requirement),Library,(bundled),1,High,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,6,Medium,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Sensitive Access,document.domain,Regex,no-document-domain,Author,,1,Medium,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Author,,1,Low,
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,True,0.997,Informational,Math.random(),Regex,insecure-random,Author,,4,Low,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,3,High,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),2,High,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,5,Medium,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,3,Medium,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Author,,17,Low,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Library,(bundled),1,Low,
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,True,0.997,Informational,Math.random(),Regex,insecure-random,Author,,7,Low,
sankey02300D1BE6F5427989F3DE31CCA9E0F32020,Sankey Chart,3.4.5.0,True,0.997,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
